Assay	Library Name	Assay Date	Region	Country	Density lb/ft3	Sulfur %	KinematicViscosity @ 100 F cSt	TAN(mg KOH/g) mg KOH/g	Pour Point F	Blank
Hidra-1990	Aspen Assay Library	08/22/1990 (ca.)	Latin America	Argentina	51.6363608238055	0.0761384784599475	3.85420828300577	0.0327011935436813	61.9837087558161	
HZ-1991	Aspen Assay Library	03/1991 (ca.)	Asia	China	52.0175625923499	0.0514163141969122	6.07551113578587	0.0785397185660136	98.8591712763163	
Isla-1999	Aspen Assay Library	9/22/1999 (ca.)	North America	Cuba	61.7573001343641	7.31967694226456	5095.58777159183	0.607473430512072	99.1835764308215	
Karachaganak-1997	Aspen Assay Library	1997	Asia	Kazakhstan	53.191508407461	1.38208459935568	5.2841036483582	0.0813314552723948	70.6699948220276	
Kayarah-1997	Aspen Assay Library	10/20/1997 (ca.)	Middle East	Iraq	59.758470962937	6.52939663904206	76.2155739404773	0.314319397779659	114.78287614923	
Lagotreco Heavy-1994	Aspen Assay Library	1994	Latin America	Venezuela	59.5708495299422	3.39248547387128	250.988363873693	1.05884325990975	90.8094910151064	
Lagotreco Light-1991	Aspen Assay Library	1991	Latin America	Venezuela	54.0709294821557	1.23853955455209	8.99631433567773	0.185826948749124	44.16005580671	
Lagotreco Medium-1994	Aspen Assay Library	1994	Latin America	Venezuela	57.3431049124791	2.80405359127395	43.4028224877597	0.763902671048119	71.0431622446299	
Laguna-1995	Aspen Assay Library	1995	Latin America	Venezuela	61.7922906932356	2.94393505452282	8209.13095288927	3.27199373640171	130.230633671164	
Loango-1989	Aspen Assay Library	1989	West Africa	Congo	55.9064197758402	0.24936409475024	81.1214691517072	0.139339383775484	60.3558707732534	
San Marco, Benevento-1993	Aspen Assay Library	05/1993 (ca.)	Europe	Italy	49.7232368438044	0.368666119871028	2.16743742164719	0.0793086280498834	31.9777318282612	
Russian Condensate-1992	Aspen Assay Library	06/15/1992 (ca.)	Asia	Russia	44.8359980186438	0.00449014267635123	0.790973179816642	0.0482306869106783	-39.4938725279967	
